attempt_id,customer_id,transaction_id,action,success,recovered_amount,recovery_cost,timestamp
ATT_00001,CUST_1002,TXN_00187,RETRY_LATER,0,0.0,1.0,2026-08-12 16:05:12
ATT_00002,CUST_1045,TXN_00051,RETRY_LATER,1,250.0,1.0,2026-08-25 16:05:12
ATT_00003,CUST_1015,TXN_00161,REMINDER,1,999.0,0.5,2026-08-23 16:05:12
ATT_00004,CUST_1012,TXN_00080,REMINDER,1,4999.0,0.5,2026-08-17 16:05:12
ATT_00005,CUST_1003,TXN_00010,REMINDER,0,0.0,0.5,2026-08-28 16:05:12
ATT_00006,CUST_1034,TXN_00055,ALTERNATE_PAYMENT,1,4999.0,5.0,2026-08-28 16:05:12
ATT_00007,CUST_1044,TXN_00073,HUMAN_ESCALATION,0,0.0,65.0,2026-08-30 16:05:12
ATT_00008,CUST_1044,TXN_00122,RETRY_LATER,0,0.0,1.0,2026-09-03 16:05:12
ATT_00009,CUST_1045,TXN_00069,INCENTIVE,0,0.0,25.0,2026-08-27 16:05:12
ATT_00010,CUST_1035,TXN_00171,REMINDER,1,499.0,0.5,2026-08-30 16:05:12
ATT_00011,CUST_1004,TXN_00173,REMINDER,0,0.0,0.5,2026-08-18 16:05:12
ATT_00012,CUST_1039,TXN_00143,REMINDER,1,8999.0,0.5,2026-08-13 16:05:12
ATT_00013,CUST_1037,TXN_00083,INCENTIVE,1,15000.0,25.0,2026-08-24 16:05:12
ATT_00014,CUST_1038,TXN_00193,PAYMENT_LINK,1,499.0,2.5,2026-08-31 16:05:12
ATT_00015,CUST_1016,TXN_00060,ALTERNATE_PAYMENT,0,0.0,5.0,2026-08-15 16:05:12
ATT_00016,CUST_1036,TXN_00013,HUMAN_ESCALATION,0,0.0,65.0,2026-08-21 16:05:12
ATT_00017,CUST_1033,TXN_00133,HUMAN_ESCALATION,0,0.0,65.0,2026-08-17 16:05:12
ATT_00018,CUST_1044,TXN_00200,RETRY_LATER,0,0.0,1.0,2026-08-18 16:05:12
ATT_00019,CUST_1037,TXN_00050,INCENTIVE,0,0.0,25.0,2026-08-29 16:05:12
ATT_00020,CUST_1042,TXN_00147,INCENTIVE,1,2999.0,25.0,2026-08-28 16:05:12
ATT_00021,CUST_1049,TXN_00194,PAYMENT_LINK,0,0.0,2.5,2026-08-25 16:05:12
ATT_00022,CUST_1001,TXN_00008,HUMAN_ESCALATION,1,15000.0,65.0,2026-08-20 16:05:12
ATT_00023,CUST_1006,TXN_00075,RETRY_LATER,1,4999.0,1.0,2026-08-24 16:05:12
ATT_00024,CUST_1003,TXN_00136,PAYMENT_LINK,0,0.0,2.5,2026-08-24 16:05:12
ATT_00025,CUST_1039,TXN_00150,REMINDER,1,250.0,0.5,2026-08-18 16:05:12
ATT_00026,CUST_1050,TXN_00006,RETRY_LATER,1,250.0,1.0,2026-08-19 16:05:12
ATT_00027,CUST_1033,TXN_00192,INCENTIVE,1,2999.0,25.0,2026-08-12 16:05:12
ATT_00028,CUST_1021,TXN_00126,REMINDER,1,499.0,0.5,2026-09-03 16:05:12
ATT_00029,CUST_1030,TXN_00113,RETRY_NOW,0,0.0,0.5,2026-08-24 16:05:12
ATT_00030,CUST_1020,TXN_00121,RETRY_LATER,1,4999.0,1.0,2026-08-31 16:05:12
ATT_00031,CUST_1047,TXN_00120,HUMAN_ESCALATION,1,8999.0,65.0,2026-09-01 16:05:12
ATT_00032,CUST_1020,TXN_00186,ALTERNATE_PAYMENT,1,250.0,5.0,2026-08-26 16:05:12
ATT_00033,CUST_1025,TXN_00099,RETRY_NOW,1,1499.0,0.5,2026-08-29 16:05:12
ATT_00034,CUST_1049,TXN_00170,REMINDER,1,499.0,0.5,2026-08-22 16:05:12
ATT_00035,CUST_1047,TXN_00159,ALTERNATE_PAYMENT,1,499.0,5.0,2026-09-02 16:05:12
ATT_00036,CUST_1041,TXN_00019,RETRY_NOW,1,499.0,0.5,2026-08-23 16:05:12
ATT_00037,CUST_1014,TXN_00112,HUMAN_ESCALATION,1,4999.0,65.0,2026-08-22 16:05:12
ATT_00038,CUST_1005,TXN_00082,HUMAN_ESCALATION,1,15000.0,65.0,2026-08-11 16:05:12
ATT_00039,CUST_1045,TXN_00069,RETRY_LATER,1,999.0,1.0,2026-08-17 16:05:12
ATT_00040,CUST_1045,TXN_00095,INCENTIVE,1,2999.0,25.0,2026-08-27 16:05:12
ATT_00041,CUST_1045,TXN_00134,INCENTIVE,0,0.0,25.0,2026-08-19 16:05:12
ATT_00042,CUST_1032,TXN_00111,PAYMENT_LINK,0,0.0,2.5,2026-09-02 16:05:12
ATT_00043,CUST_1002,TXN_00187,RETRY_LATER,0,0.0,1.0,2026-08-18 16:05:12
ATT_00044,CUST_1041,TXN_00019,INCENTIVE,0,0.0,25.0,2026-09-01 16:05:12
ATT_00045,CUST_1033,TXN_00133,RETRY_LATER,1,1499.0,1.0,2026-08-23 16:05:12
ATT_00046,CUST_1049,TXN_00194,ALTERNATE_PAYMENT,0,0.0,5.0,2026-08-29 16:05:12
ATT_00047,CUST_1036,TXN_00081,HUMAN_ESCALATION,0,0.0,65.0,2026-08-29 16:05:12
ATT_00048,CUST_1018,TXN_00188,RETRY_NOW,0,0.0,0.5,2026-08-26 16:05:12
ATT_00049,CUST_1046,TXN_00123,RETRY_NOW,0,0.0,0.5,2026-09-02 16:05:12
