transaction_id,customer_id,amount,payment_method,failure_reason,timestamp,status,attempt_number
TXN_00001,CUST_1007,250.0,Credit Card,EXPIRED_CARD,2026-08-17 16:05:12,FAILED,2
TXN_00002,CUST_1034,8999.0,Debit Card,NETWORK_ERROR,2026-08-14 16:05:12,FAILED,1
TXN_00003,CUST_1022,4999.0,Credit Card,NONE,2026-08-25 16:05:12,SUCCESS,2
TXN_00004,CUST_1037,1499.0,Net Banking,EXPIRED_CARD,2026-08-31 16:05:12,FAILED,2
TXN_00005,CUST_1006,999.0,Net Banking,EXPIRED_CARD,2026-08-20 16:05:12,FAILED,3
TXN_00006,CUST_1050,250.0,Credit Card,AUTH_TIMEOUT,2026-08-08 16:05:12,FAILED,1
TXN_00007,CUST_1026,8999.0,Wallet,INSUFFICIENT_FUNDS,2026-08-24 16:05:12,FAILED,3
TXN_00008,CUST_1001,15000.0,UPI,INSUFFICIENT_FUNDS,2026-08-28 16:05:12,FAILED,3
TXN_00009,CUST_1001,8999.0,UPI,NETWORK_ERROR,2026-08-14 16:05:12,FAILED,3
TXN_00010,CUST_1003,250.0,Debit Card,NETWORK_ERROR,2026-08-22 16:05:12,FAILED,2
TXN_00011,CUST_1005,15000.0,Net Banking,BANK_SERVER_DOWN,2026-08-10 16:05:12,FAILED,3
TXN_00012,CUST_1039,2999.0,UPI,BANK_SERVER_DOWN,2026-08-26 16:05:12,FAILED,3
TXN_00013,CUST_1036,499.0,Credit Card,INSUFFICIENT_FUNDS,2026-08-12 16:05:12,FAILED,3
TXN_00014,CUST_1045,15000.0,Credit Card,AUTH_TIMEOUT,2026-08-16 16:05:12,FAILED,2
TXN_00015,CUST_1050,2999.0,Credit Card,AUTH_TIMEOUT,2026-08-25 16:05:12,FAILED,3
TXN_00016,CUST_1012,499.0,UPI,NONE,2026-08-25 16:05:12,SUCCESS,2
TXN_00017,CUST_1029,499.0,Credit Card,AUTH_TIMEOUT,2026-08-13 16:05:12,FAILED,1
TXN_00018,CUST_1026,499.0,Credit Card,NONE,2026-08-06 16:05:12,SUCCESS,1
TXN_00019,CUST_1041,499.0,UPI,NETWORK_ERROR,2026-08-25 16:05:12,FAILED,3
TXN_00020,CUST_1036,1499.0,Net Banking,NONE,2026-08-26 16:05:12,SUCCESS,3
TXN_00021,CUST_1009,999.0,UPI,EXPIRED_CARD,2026-08-18 16:05:12,FAILED,1
